Datetime,hour,day_of_week,month,NO2(GT),NOx(GT),C6H6(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AQI_next_hour
2004-03-10 18:00:00,18.0,2.0,3.0,113.0,166.0,11.9,1360.0,1046.0,1056.0,1692.0,1268.0,13.6,48.9,0.7578,769.55
2004-03-10 19:00:00,19.0,2.0,3.0,92.0,103.0,9.4,1292.0,955.0,1174.0,1559.0,972.0,13.3,47.7,0.7255,795.5
2004-03-10 20:00:00,20.0,2.0,3.0,114.0,131.0,9.0,1402.0,939.0,1140.0,1555.0,1074.0,11.9,54.0,0.7502,813.275
2004-03-10 21:00:00,21.0,2.0,3.0,122.0,172.0,9.2,1376.0,948.0,1092.0,1584.0,1203.0,11.0,60.0,0.7867,770.8125
2004-03-10 22:00:00,22.0,2.0,3.0,116.0,131.0,6.5,1272.0,836.0,1205.0,1490.0,1110.0,11.2,59.6,0.7888,726.9625
2004-03-10 23:00:00,23.0,2.0,3.0,96.0,89.0,4.7,1197.0,750.0,1337.0,1393.0,949.0,11.2,59.2,0.7848,693.2
2004-03-11 00:00:00,0.0,3.0,3.0,77.0,62.0,3.6,1185.0,690.0,1462.0,1333.0,733.0,11.3,56.8,0.7603,683.1625
2004-03-11 01:00:00,1.0,3.0,3.0,76.0,62.0,3.3,1136.0,672.0,1453.0,1333.0,730.0,10.7,60.0,0.7702,660.6625
2004-03-11 02:00:00,2.0,3.0,3.0,60.0,45.0,2.3,1094.0,609.0,1579.0,1276.0,620.0,10.7,59.7,0.7648,662.8375
2004-03-11 03:00:00,3.0,3.0,3.0,109.0,180.0,1.7,1010.0,561.0,1705.0,1235.0,501.0,10.3,60.2,0.7517,631.7875
2004-03-11 04:00:00,4.0,3.0,3.0,34.0,21.0,1.3,1011.0,527.0,1818.0,1197.0,445.0,10.1,60.5,0.7465,643.1375
2004-03-11 05:00:00,5.0,3.0,3.0,28.0,16.0,1.1,1066.0,512.0,1918.0,1182.0,422.0,11.0,56.2,0.7366,639.95
2004-03-11 06:00:00,6.0,3.0,3.0,48.0,34.0,1.6,1052.0,553.0,1738.0,1221.0,472.0,10.5,58.1,0.7353,694.15
2004-03-11 07:00:00,7.0,3.0,3.0,82.0,98.0,3.2,1144.0,667.0,1490.0,1339.0,730.0,10.2,59.6,0.7417,785.25
2004-03-11 08:00:00,8.0,3.0,3.0,112.0,174.0,8.0,1333.0,900.0,1136.0,1517.0,1102.0,10.8,57.4,0.7408,780.0625
2004-03-11 09:00:00,9.0,3.0,3.0,101.0,129.0,9.5,1351.0,960.0,1079.0,1583.0,1028.0,10.5,60.6,0.7691,725.0375
2004-03-11 10:00:00,10.0,3.0,3.0,98.0,112.0,6.3,1233.0,827.0,1218.0,1446.0,860.0,10.8,58.4,0.7552,686.75
2004-03-11 11:00:00,11.0,3.0,3.0,92.0,95.0,5.0,1179.0,762.0,1328.0,1362.0,671.0,10.5,57.9,0.7352,697.525
2004-03-11 12:00:00,12.0,3.0,3.0,95.0,104.0,5.2,1236.0,774.0,1301.0,1401.0,664.0,9.5,66.8,0.7951,739.7875
2004-03-11 13:00:00,13.0,3.0,3.0,112.0,146.0,7.3,1286.0,869.0,1162.0,1537.0,799.0,8.3,76.4,0.8393,812.6875
2004-03-11 14:00:00,14.0,3.0,3.0,128.0,207.0,11.5,1371.0,1034.0,983.0,1730.0,1037.0,8.0,81.1,0.8736,779.6
2004-03-11 15:00:00,15.0,3.0,3.0,126.0,184.0,8.8,1310.0,933.0,1082.0,1647.0,946.0,8.3,79.8,0.8778,773.4125
2004-03-11 16:00:00,16.0,3.0,3.0,131.0,193.0,8.3,1292.0,912.0,1103.0,1591.0,957.0,9.7,71.2,0.8569,827.9
2004-03-11 17:00:00,17.0,3.0,3.0,135.0,243.0,11.2,1383.0,1020.0,1008.0,1719.0,1104.0,9.8,67.6,0.8185,955.475
2004-03-11 18:00:00,18.0,3.0,3.0,151.0,281.0,20.8,1581.0,1319.0,799.0,2083.0,1409.0,10.3,64.2,0.8065,1073.175
2004-03-11 19:00:00,19.0,3.0,3.0,172.0,383.0,27.4,1776.0,1488.0,702.0,2333.0,1704.0,9.7,69.3,0.8319,1021.5
2004-03-11 20:00:00,20.0,3.0,3.0,165.0,351.0,24.0,1640.0,1404.0,743.0,2191.0,1654.0,9.6,67.8,0.8133,840.85
2004-03-11 21:00:00,21.0,3.0,3.0,136.0,240.0,12.8,1313.0,1076.0,957.0,1707.0,1285.0,9.1,64.0,0.7419,672.0875
2004-03-11 22:00:00,22.0,3.0,3.0,85.0,94.0,4.7,965.0,749.0,1325.0,1333.0,821.0,8.2,63.4,0.6905,626.7
2004-03-11 23:00:00,23.0,3.0,3.0,53.0,47.0,2.6,913.0,629.0,1565.0,1252.0,552.0,8.2,60.8,0.6657,694.3625
2004-03-12 00:00:00,0.0,4.0,3.0,97.0,122.0,5.9,1080.0,805.0,1254.0,1375.0,816.0,8.3,58.5,0.6438,697.425
2004-03-12 01:00:00,1.0,4.0,3.0,110.0,133.0,6.4,1044.0,829.0,1247.0,1378.0,832.0,7.7,59.7,0.6308,659.3875
2004-03-12 02:00:00,2.0,4.0,3.0,91.0,82.0,4.1,988.0,718.0,1396.0,1304.0,692.0,7.1,61.8,0.6276,641.6125
2004-03-12 03:00:00,3.0,4.0,3.0,109.0,180.0,1.9,889.0,574.0,1680.0,1187.0,512.0,7.0,62.3,0.6261,600.2625
2004-03-12 04:00:00,4.0,4.0,3.0,32.0,21.0,1.1,831.0,506.0,1893.0,1134.0,384.0,6.1,65.9,0.6248,608.375
